City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tabuk,17.4189,121.4443,21.4,91,88,1.24,PH,1707426263
84,vilaka,57.1846,27.6722,-9.76,97,97,2.23,LV,1707426263
85,nchelenge,-9.3451,28.734,21.78,85,86,1.51,ZM,1707426263
86,samalut,28.3121,30.7101,15.29,37,74,3.19,EG,1707426263
87,west island,-12.1568,96.8225,27.99,83,75,3.09,CC,1707426263
88,eustis,28.8528,-81.6853,23.35,56,75,2.06,US,1707426264
89,badger,64.8,-147.5333,-14.8,81,20,0.0,US,1707426264
90,buka,40.8108,69.1986,8.9,50,100,0.43,UZ,1707426264
91,tazovsky,67.4667,78.7,-16.23,97,99,5.89,RU,1707425882
92,arteche,12.2645,125.4048,24.52,89,21,3.06,PH,1707426264
93,albertina,-22.2008,-46.6158,24.12,71,100,2.39,BR,1707426264
94,kapa'a,22.0752,-159.319,26.18,62,40,5.14,US,1707426264
95,hithadhoo,-0.6,73.0833,28.06,77,100,5.23,MV,1707426264
96,concepcion,-36.827,-73.0498,22.89,49,0,7.2,CL,1707426048
97,borogontsy,62.6683,131.1683,-43.94,100,97,0.7,RU,1707426265
98,sur,22.5667,59.5289,20.69,72,27,3.37,OM,1707426265
99,greymouth,-42.4667,171.2,15.83,64,7,1.46,NZ,1707426265
100,port moresby,-9.4431,147.1797,23.68,100,75,5.14,PG,1707426196
101,montevideo,-34.8335,-56.1674,24.84,83,100,6.69,UY,1707426013
102,ca mau,9.1769,105.15,23.37,87,8,2.09,VN,1707426265
103,jamestown,42.097,-79.2353,10.81,37,0,3.6,US,1707426052
104,ust-nera,64.5667,143.2,-33.73,100,100,0.95,RU,1707426266
105,chonchi,-42.6128,-73.8092,18.56,46,100,3.2,CL,1707426266
106,talnakh,69.4865,88.3972,-26.0,84,84,1.9,RU,1707426266
107,alekseyevka,50.6309,38.6903,-4.07,76,71,4.07,RU,1707426266
108,arkhangel'sk,64.5401,40.5433,-9.93,85,100,2.0,RU,1707426266
109,afaahiti,-17.75,-149.2833,26.93,90,96,8.94,PF,1707426266
110,sars,56.5502,57.1366,-8.93,94,100,6.51,RU,1707426267
111,saulx-les-chartreux,48.6906,2.2673,12.26,86,100,9.26,FR,1707426267
112,kamensk-ural'skiy,56.4185,61.9329,-8.99,96,96,3.3,RU,1707426267
113,iqaluit,63.7506,-68.5145,-20.15,65,75,2.57,CA,1707426267
114,queenstown,-31.8976,26.8753,15.93,84,60,2.62,ZA,1707426014
115,chibougamau,49.9168,-74.3659,1.79,75,100,4.63,CA,1707426267
116,berdigestyakh,62.0989,126.6992,-37.1,100,100,0.58,RU,1707426268
117,port hedland,-20.3167,118.5667,28.03,78,26,0.0,AU,1707426088
118,vilyuchinsk,52.9306,158.4028,-10.04,85,100,3.04,RU,1707426268
119,susuman,62.7833,148.1667,-37.79,100,90,1.34,RU,1707426268
120,island harbour,50.724,-1.2758,10.64,94,100,4.92,GB,1707426268
121,coquimbo,-29.9533,-71.3436,20.85,77,75,4.63,CL,1707426053
122,st. john's,47.5649,-52.7093,-0.68,93,100,9.83,CA,1707426009
123,araci,-11.3333,-38.9667,29.68,53,88,4.61,BR,1707426269
